지번주소,HDBSCAN_cluster_without_noise,인구밀도,총 사업체수,반경 1km 이내 불법주정차 단속 수,토지면적,공시지가(원/면적),역과의최단거리,반경 1km 이내 주차장수,위도,경도
서울특별시 광진구 중곡동  51-5,0,47036.5,46,32,149.1,3997000.0,683,166,37.559718,127.0843753
서울특별시 광진구 중곡동  51-8,0,47036.5,46,32,138.9,3281000.0,711,162,37.5597596,127.0840985
서울특별시 광진구 중곡동  52-10,0,47036.5,46,32,155.4,3082000.0,777,167,37.5594625,127.0845603
서울특별시 광진구 중곡동  52-11,0,47036.5,46,32,320.0,3960000.0,670,163,37.5595332,127.0844752
서울특별시 광진구 중곡동  52-15,0,47036.5,46,34,157.0,4166000.0,637,162,37.55927690000001,127.0842927
서울특별시 광진구 중곡동  52-5,0,47036.5,46,36,154.7,3290000.0,738,165,37.5592198,127.0845854
서울특별시 광진구 중곡동  52-9,0,47036.5,46,32,161.3,3290000.0,676,165,37.5593154,127.0845022
서울특별시 광진구 중곡동  53-1,0,52983.9,8,34,190.1,4125000.0,616,161,37.5591103,127.0841927
서울특별시 광진구 중곡동  53-10,0,52983.9,8,32,171.6,4038000.0,596,161,37.5586643,127.0840749
서울특별시 광진구 중곡동  53-11,0,52983.9,8,32,171.2,4038000.0,606,161,37.5586267,127.0841813
서울특별시 광진구 중곡동  53-15,0,52983.9,8,34,166.0,3420000.0,615,160,37.5589311,127.0842526
서울특별시 광진구 중곡동  53-16,0,52983.9,8,34,192.7,3960000.0,656,162,37.5590217,127.084315
서울특별시 광진구 중곡동  53-17,0,52983.9,8,34,165.3,3960000.0,671,163,37.558929,127.0844394
서울특별시 광진구 중곡동  53-19,0,52983.9,8,34,227.4,3960000.0,686,164,37.5588211,127.0845415
서울특별시 광진구 중곡동  53-2,0,52983.9,8,34,177.9,3997000.0,602,160,37.55899640000001,127.0841202
서울특별시 광진구 중곡동  53-20,0,52983.9,8,32,189.1,4125000.0,662,165,37.558743,127.0846642
서울특별시 광진구 중곡동  53-21,0,52983.9,8,32,165.6,4038000.0,632,163,37.5586314,127.0845955
서울특별시 광진구 중곡동  53-22,0,52983.9,8,32,191.4,4207000.0,636,162,37.5585053,127.0845248
서울특별시 광진구 중곡동  53-24,0,20282.3,22,32,172.2,4125000.0,662,166,37.5586323,127.0848159
서울특별시 광진구 중곡동  53-25,0,20282.3,22,32,344.1,4207000.0,641,164,37.5584831,127.0847165
서울특별시 광진구 중곡동  53-27,0,20282.3,22,32,200.3,4038000.0,642,165,37.5584031,127.084826
서울특별시 광진구 중곡동  53-28,0,20282.3,22,32,208.3,3960000.0,694,167,37.5585328,127.0849181
서울특별시 광진구 중곡동  53-29,0,20282.3,22,32,132.2,4539000.0,716,170,37.5584091,127.0851165
서울특별시 광진구 중곡동  53-3,0,52983.9,8,32,130.9,3420000.0,628,162,37.5586908,127.0844947
서울특별시 광진구 중곡동  53-30,0,20282.3,22,32,175.5,4038000.0,654,168,37.5583515,127.0849416
서울특별시 광진구 중곡동  53-32,0,20282.3,22,32,129.6,3960000.0,705,169,37.5584643,127.085013
서울특별시 광진구 중곡동  53-4,0,52983.9,8,32,130.9,3420000.0,618,163,37.5587283,127.0843884
서울특별시 광진구 중곡동  53-6,0,52983.9,8,34,130.9,3420000.0,597,161,37.558803,127.0841749
서울특별시 광진구 중곡동  53-7,0,52983.9,8,34,179.2,3997000.0,585,160,37.5588471,127.084049
서울특별시 광진구 중곡동  54-1,0,52959.1,20,30,155.7,3997000.0,798,169,37.5591982,127.0855735
서울특별시 광진구 중곡동  54-11,0,52983.9,8,32,71.1,3357000.0,776,169,37.5589219,127.0851694
서울특별시 광진구 중곡동  54-13,0,52983.9,8,30,212.3,4038000.0,778,169,37.5588494,127.0853656
서울특별시 광진구 중곡동  54-17,0,52983.9,8,28,164.6,4038000.0,741,169,37.5587336,127.0852835
서울특별시 광진구 중곡동  54-18,0,52983.9,8,32,169.6,4038000.0,731,170,37.5586516,127.0852389
서울특별시 광진구 중곡동  54-19,0,52983.9,8,32,186.4,4166000.0,709,170,37.5585634,127.085195
서울특별시 광진구 중곡동  54-2,0,52959.1,20,30,166.0,3799000.0,798,171,37.5591061,127.0854942
서울특별시 광진구 중곡동  54-20,0,52983.9,8,32,152.4,3997000.0,694,169,37.5586658,127.0850837
서울특별시 광진구 중곡동  54-23,0,52983.9,8,34,109.1,3955000.0,690,167,37.5588921,127.0847528
서울특별시 광진구 중곡동  54-25,0,52983.9,8,34,106.8,3023000.0,798,168,37.5589271,127.0848917
서울특별시 광진구 중곡동  54-33,0,52983.9,8,32,182.1,3762000.0,736,169,37.5591116,127.0849837
서울특별시 광진구 중곡동  54-5,0,52959.1,20,32,84.0,3281000.0,780,170,37.5590123,127.0853929
서울특별시 광진구 중곡동  54-6,0,52959.1,20,32,169.9,3281000.0,766,171,37.5590274,127.0852857
서울특별시 광진구 중곡동  54-7,0,52983.9,8,32,203.6,3116000.0,780,169,37.5590309,127.0850673
서울특별시 광진구 중곡동  57-4,0,24792.6,43,28,209.6,4227000.0,846,157,37.5606623,127.0880435
서울특별시 광진구 중곡동  58-1,0,24792.6,43,30,206.9,4268000.0,868,156,37.5604733,127.088126
서울특별시 광진구 중곡동  58-10,0,24792.6,43,30,187.8,4057000.0,929,159,37.5601799,127.0880378
서울특별시 광진구 중곡동  58-11,0,24792.6,43,30,186.8,4057000.0,914,160,37.5603178,127.0880122
서울특별시 광진구 중곡동  58-12,0,24792.6,43,28,199.3,4236000.0,878,160,37.5604604,127.0879858
서울특별시 광진구 중곡동  58-19,0,24792.6,43,28,176.5,4245000.0,982,159,37.5592934,127.0881957
서울특별시 광진구 중곡동  58-2,0,24792.6,43,30,202.3,3693000.0,883,158,37.5603327,127.0881534
서울특별시 광진구 중곡동  58-20,0,24792.6,43,31,176.5,4245000.0,989,160,37.5594236,127.0881732
서울특별시 광진구 중곡동  58-21,0,24792.6,43,30,196.7,4414000.0,974,159,37.5595618,127.0881488
서울특별시 광진구 중곡동  58-22,0,24792.6,43,30,201.7,4414000.0,969,158,37.5595755,127.0882864
서울특별시 광진구 중곡동  58-23,0,24792.6,43,29,187.8,4075000.0,984,157,37.559439,127.088312
서울특별시 광진구 중곡동  58-24,0,24792.6,43,28,186.1,4075000.0,998,155,37.5593083,127.0883349
서울특별시 광진구 중곡동  58-3,0,24792.6,43,30,201.3,3693000.0,899,157,37.5601948,127.0881784
서울특별시 광진구 중곡동  58-4,0,24792.6,43,30,201.3,3693000.0,914,159,37.56005650000001,127.0882035
서울특별시 광진구 중곡동  58-5,0,24792.6,43,31,201.3,3693000.0,930,160,37.5599181,127.0882286
서울특별시 광진구 중곡동  58-6,0,24792.6,43,30,206.0,4414000.0,946,159,37.5597778,127.0882524
서울특별시 광진구 중곡동  58-7,0,24792.6,43,30,200.3,4414000.0,976,160,37.5597614,127.0881154
서울특별시 광진구 중곡동  58-8,0,24792.6,43,30,186.8,4057000.0,960,161,37.5599031,127.0880891
서울특별시 광진구 중곡동  58-9,0,24792.6,43,30,186.8,4057000.0,944,160,37.5600415,127.0880635
서울특별시 광진구 중곡동  59-1,0,47098.7,17,28,385.5,3881000.0,890,153,37.560516,127.0886044
서울특별시 광진구 중곡동  59-10,0,47098.7,17,30,203.0,3775000.0,876,155,37.5604975,127.0884508
서울특별시 광진구 중곡동  59-11,0,47098.7,17,30,204.3,4227000.0,870,156,37.5604777,127.0883289
서울특별시 광진구 중곡동  59-12,0,24792.6,43,30,166.0,3837000.0,889,155,37.5603113,127.088378
