지번주소,UMAP1,UMAP2,OPTICS_cluster_without_noise
서울특별시 광진구 광장동  277-11,9.07732,21.161877,6
서울특별시 광진구 광장동  277-12,9.062285,21.114355,6
서울특별시 광진구 광장동  280-1,9.0746565,21.115835,6
서울특별시 광진구 광장동  280-3,9.081971,21.22452,7
서울특별시 광진구 광장동  281-4,8.928674,21.186258,9
서울특별시 광진구 광장동  282-1,9.059957,21.231281,8
서울특별시 광진구 광장동  285-14,9.095037,21.246967,7
서울특별시 광진구 광장동  285-15,9.099031,21.238205,7
서울특별시 광진구 광장동  285-17,9.070414,21.241894,8
서울특별시 광진구 광장동  285-31,9.093383,21.246012,7
서울특별시 광진구 광장동  285-4,9.033077,21.226461,8
서울특별시 광진구 광장동  285-7,9.106369,21.240547,7
서울특별시 광진구 광장동  285-8,9.092465,21.22032,7
서울특별시 광진구 광장동  287-1,10.610791,20.075863,17
서울특별시 광진구 광장동  287-4,10.621358,20.06857,17
서울특별시 광진구 광장동  287-5,-0.6472012,17.227566,1549
서울특별시 광진구 광장동  288,-0.6139392,17.193865,1548
서울특별시 광진구 광장동  288-1,10.614058,20.07824,17
서울특별시 광진구 광장동  288-17,-0.60198724,17.181686,1547
서울특별시 광진구 광장동  313-3,8.759678,21.169056,12
서울특별시 광진구 광장동  315,8.752449,21.167164,12
서울특별시 광진구 광장동  315-2,8.749486,21.168879,12
서울특별시 광진구 광장동  315-3,8.7543335,21.169828,12
서울특별시 광진구 광장동  320-8,8.8244705,21.071901,13
서울특별시 광진구 광장동  322-10,8.86344,21.131386,10
서울특별시 광진구 광장동  322-14,8.830517,21.063578,13
서울특별시 광진구 광장동  322-3,8.836156,21.075085,13
서울특별시 광진구 광장동  322-4,8.797052,21.085915,13
서울특별시 광진구 광장동  322-7,8.840301,21.132198,10
서울특별시 광진구 광장동  323-7,9.014962,21.066393,6
서울특별시 광진구 광장동  325-1,9.857739,20.577728,5
서울특별시 광진구 광장동  325-6,8.807391,21.057793,13
서울특별시 광진구 광장동  326-11,8.78211,21.165451,11
서울특별시 광진구 광장동  326-13,8.774821,21.166948,11
서울특별시 광진구 광장동  326-15,8.901753,21.160341,9
서울특별시 광진구 광장동  326-16,8.906925,21.179695,9
서울특별시 광진구 광장동  326-6,8.778219,21.155746,11
서울특별시 광진구 광장동  326-7,8.779501,21.154434,11
서울특별시 광진구 광장동  326-8,8.83586,21.160995,10
서울특별시 광진구 광장동  326-9,8.779473,21.159224,11
서울특별시 광진구 광장동  327-1,8.777266,21.148394,11
서울특별시 광진구 광장동  329-1,8.755606,21.169641,12
서울특별시 광진구 광장동  330-3,9.03168,21.11677,6
서울특별시 광진구 광장동  330-8,8.926947,21.155657,9
서울특별시 광진구 광장동  330-9,8.778457,21.160048,11
서울특별시 광진구 광장동  331-1,9.08868,21.082327,6
서울특별시 광진구 광장동  332-1,9.27974,20.976284,3
서울특별시 광진구 광장동  332-3,9.262812,20.989164,3
서울특별시 광진구 광장동  332-5,9.12739,21.068966,6
서울특별시 광진구 광장동  332-9,9.14495,21.064646,6
서울특별시 광진구 광장동  333,9.253116,20.982672,3
서울특별시 광진구 광장동  334-1,9.303682,20.959824,3
서울특별시 광진구 광장동  334-11,9.265776,20.98877,3
서울특별시 광진구 광장동  334-12,9.108823,21.074966,6
서울특별시 광진구 광장동  334-14,9.246764,21.005972,3
서울특별시 광진구 광장동  334-15,9.239854,21.015013,3
서울특별시 광진구 광장동  334-16,9.116701,21.08261,6
서울특별시 광진구 광장동  334-17,9.080825,21.086819,6
서울특별시 광진구 광장동  336-1,8.813315,21.070719,13
서울특별시 광진구 광장동  337-1,9.271518,20.961887,3
서울특별시 광진구 광장동  337-4,9.894205,20.562296,5
서울특별시 광진구 광장동  339-1,9.84355,20.592949,5
서울특별시 광진구 광장동  339-17,9.851035,20.58856,5
서울특별시 광진구 광장동  339-3,9.81479,20.611042,4
서울특별시 광진구 광장동  339-7,9.87397,20.572485,5
서울특별시 광진구 광장동  339-9,9.819855,20.606892,4
서울특별시 광진구 광장동  340-1,9.854454,20.57944,5
서울특별시 광진구 광장동  340-11,9.516914,20.773542,1
서울특별시 광진구 광장동  340-14,9.5013685,20.790998,2
서울특별시 광진구 광장동  340-2,9.504389,20.787811,2
서울특별시 광진구 광장동  341-12,9.503851,20.789793,2
서울특별시 광진구 광장동  341-35,9.857231,20.580564,5
서울특별시 광진구 광장동  350-2,10.492406,17.610027,30
서울특별시 광진구 광장동  350-3,10.464128,17.635674,30
서울특별시 광진구 광장동  350-4,10.460958,17.642258,30
서울특별시 광진구 광장동  350-8,10.452838,17.63527,30
서울특별시 광진구 광장동  353,9.638333,20.588644,0
서울특별시 광진구 광장동  355-1,10.336579,17.815025,32
서울특별시 광진구 광장동  355-2,10.340804,17.817022,32
서울특별시 광진구 광장동  356,10.379402,17.792887,31
서울특별시 광진구 광장동  358-13,10.386846,17.789387,31
서울특별시 광진구 광장동  358-15,10.308002,17.848055,33
서울특별시 광진구 광장동  369,10.924066,17.020405,36
서울특별시 광진구 광장동  376-21,10.492025,17.715328,30
서울특별시 광진구 광장동  376-4,10.343822,17.813112,32
서울특별시 광진구 광장동  376-9,10.384307,17.795664,31
