지번주소,UMAP1,UMAP2,OPTICS_cluster_without_noise
서울특별시 광진구 광장동  413-15,12.8538685,1.2550459,1960
서울특별시 광진구 광장동  413-16,12.848989,1.2565303,1960
서울특별시 광진구 광장동  413-19,12.816655,1.2437981,1960
서울특별시 광진구 광장동  413-29,12.81432,1.2423636,1960
서울특별시 광진구 광장동  414-1,12.467945,1.7295153,1969
서울특별시 광진구 광장동  445-3,7.045088,-0.676343,611
서울특별시 광진구 광장동  445-5,7.1347613,-0.62920296,52
서울특별시 광진구 광장동  453-1,7.7909145,-0.3358899,604
서울특별시 광진구 광장동  457-1,13.565945,1.9536606,1977
서울특별시 광진구 광장동  457-17,13.683568,1.9954181,1977
서울특별시 광진구 광장동  457-24,13.61598,1.9896722,1977
서울특별시 광진구 광장동  457-25,13.663364,2.0449464,1977
서울특별시 광진구 광장동  463-3,1.5067793,-1.508664,1002
서울특별시 광진구 광장동  470-3,6.805529,-0.85124844,619
서울특별시 광진구 광장동  472-1,6.3898745,-0.81944823,63
서울특별시 광진구 광장동  5-117,12.628031,1.8190693,1966
서울특별시 광진구 광장동  512-5,5.8855095,-0.9438755,639
서울특별시 광진구 광장동  515-3,5.227934,-0.99960726,646
서울특별시 광진구 광장동  517-5,6.015093,-0.9331311,638
서울특별시 광진구 광장동  520,12.564786,1.779548,1967
서울특별시 광진구 광장동  530-13,5.2399054,-0.9596124,647
서울특별시 광진구 광장동  530-24,6.0196576,-0.9288315,638
서울특별시 광진구 광장동  530-25,5.2662683,-0.9868121,59
서울특별시 광진구 광장동  530-39,5.421696,-0.9965842,59
서울특별시 광진구 광장동  530-43,5.313603,-0.96665025,59
서울특별시 광진구 광장동  530-7,12.593726,1.4367808,1957
서울특별시 광진구 광장동  551,7.678432,-0.08432765,599
서울특별시 광진구 광장동  554,12.486069,1.7666999,704
서울특별시 광진구 광장동  554-11,12.516331,1.7348562,1968
서울특별시 광진구 광장동  554-15,12.514011,1.7305636,1968
서울특별시 광진구 광장동  561,7.7599764,-0.33825096,68
