지번주소,UMAP1,UMAP2,OPTICS_cluster_all,OPTICS_cluster_without_noise
서울특별시 광진구 광장동  231-1,17.531422,13.141056,-1,559
서울특별시 광진구 광장동  237,18.20745,13.36869,-1,560
서울특별시 광진구 광장동  237-9,3.1016946,18.898046,20,31
서울특별시 광진구 광장동  238,18.35351,13.384985,-1,560
서울특별시 광진구 광장동  239-6,18.378475,13.401578,-1,560
서울특별시 광진구 광장동  240-1,18.373798,13.395572,-1,560
서울특별시 광진구 광장동  241-1,18.382692,13.4017105,-1,560
서울특별시 광진구 광장동  242-1,18.402285,13.421852,1501,2077
서울특별시 광진구 광장동  243-12,18.39911,13.415797,1501,2077
서울특별시 광진구 광장동  243-8,18.3647,13.426636,-1,560
서울특별시 광진구 광장동  243-9,18.3967,13.425086,1501,2077
서울특별시 광진구 광장동  244-1,-1.2523029,16.601866,1673,2252
서울특별시 광진구 광장동  244-12,-1.2234086,16.574095,-1,697
서울특별시 광진구 광장동  244-21,-1.2574462,16.60482,-1,698
서울특별시 광진구 광장동  244-23,-1.1778864,16.53064,1668,2247
서울특별시 광진구 광장동  244-24,-1.1941729,16.546724,-1,697
서울특별시 광진구 광장동  244-26,18.400877,13.418195,1501,2077
서울특별시 광진구 광장동  244-27,18.398184,13.415873,1501,2077
서울특별시 광진구 광장동  244-28,18.391727,13.411394,1501,2077
서울특별시 광진구 광장동  244-6,-1.187047,16.5418,1669,2248
서울특별시 광진구 광장동  244-7,-1.2606277,16.609522,1674,2253
서울특별시 광진구 광장동  245-10,-1.2623867,16.612165,1674,2253
서울특별시 광진구 광장동  245-11,-1.2562982,16.605837,-1,698
서울특별시 광진구 광장동  245-12,-1.2566581,16.606485,-1,698
서울특별시 광진구 광장동  245-13,-1.2442223,16.594257,1672,2251
서울특별시 광진구 광장동  245-15,-1.2499777,16.599846,1673,2252
서울특별시 광진구 광장동  245-16,18.38295,13.40977,-1,560
서울특별시 광진구 광장동  245-2,18.39744,13.420659,1501,2077
서울특별시 광진구 광장동  245-3,-1.2965943,16.645864,-1,698
서울특별시 광진구 광장동  245-4,-1.2602428,16.60995,1674,2253
서울특별시 광진구 광장동  245-7,-1.2630537,16.61255,1674,2253
서울특별시 광진구 광장동  245-8,-1.2659167,16.615097,-1,698
서울특별시 광진구 광장동  245-9,-1.298853,16.64815,-1,698
서울특별시 광진구 광장동  246-10,18.375856,13.391269,1500,2076
서울특별시 광진구 광장동  246-11,18.34875,13.394236,-1,560
